X,Y,ROTATION,LEGEND_TOP_MARGIN,LRFLAG,JOB_NO,MAP_ID,OBJECTID,SHAPE.LEN,LEGEND_BOTTOM_MARGIN,FRACL,SUBAREA_NO,AREA_NO,PAGELETTER_ID,POLTOWNSHIP_NAME,MAPTITLE,RANGE,SECTION_NO,SHAPE.AREA,IBL,TOWNSHIP,FLYLEAF,PAGE
-87.7925179712186,41.9048098516581,0,,L,,9600,12321,7965.88143685392,,,6,16,A,OAK PARK,JEFFERSON & OAK PARK,13,6,3516280.0309755, ,39,0,1606A
-87.7976309307481,41.905328517524,0,,R,,9601,12322,8248.0295887978,,,6,16,D,OAK PARK,OAK PARK,13,6,3882474.7317245, ,39,0,1606D
-87.7676531964829,41.891510250929,0,,R,,9608,12328,7956.01427648717,,,8,16,B,WEST,WEST,13,8,3470333.593165, ,39,0,1608B
-87.7774669423271,41.8914374810067,0,,R,,9609,12329,8015.24202763874,,,8,16,D,OAK PARK,OAK PARK,13,8,3559203.57898, ,39,0,1608D
-87.7674271670527,41.8834004657744,0,,R,,9610,12330,7950.50180918845,,,8,16,H,WEST,WEST,13,8,3523164.143725, ,39,0,1608H
-87.772323800766,41.8833589511482,0,,L,,9611,12331,7961.0282955765,,,8,16,G,WEST,WEST,13,8,3528241.3466695, ,39,0,1608G
-87.7530283425052,41.8912751993247,0,,L,,9613,12332,7989.01981012394,,,9,16,A,WEST,WEST,13,9,3545431.86184, ,39,0,1609A
-87.7481349381869,41.8913662005226,0,,R,,9614,12333,7969.02660334886,,,9,16,B,WEST,WEST,13,9,3536080.95536, ,39,0,1609B
-87.7629098896597,41.8918242911462,0,,L,,9615,12334,7951.38993177027,,,9,16,C,WEST,WEST,13,9,3471086.356232, ,39,0,1609C
-87.7580043794048,41.8916236870152,0,,R,,9616,12335,8084.06162823223,,,9,16,D,WEST,WEST,13,9,3660902.184429, ,39,0,1609D
-87.7527625385405,41.8841070624265,0,,L,,9617,12336,7944.26288307028,,,9,16,G,WEST,WEST,13,9,3518203.624381, ,39,0,1609G
-87.7478526993354,41.8837684997599,0,,R,,9618,12337,7946.74941082685,,,9,16,H,WEST,WEST,13,9,3519288.9750985, ,39,0,1609H
-87.7284383593886,41.891496049358,0,,R,,9619,12338,8046.10215457427,,,10,16,B,WEST,WEST,13,10,3594084.9200945, ,39,0,1610B
-87.7432123903788,41.8914112003677,0,,L,,9620,12339,7994.53171517632,,,10,16,C,WEST,WEST,13,10,3569192.6678795, ,39,0,1610C
-87.6268171989189,41.9075377818235,0,,L,,7166,12551,7706.9410476899,,,3,17,C,NORTH,NORTH,14,3,2924660.6654345, ,39,0,1703C
-87.7086725282251,41.88450345055,0,,R,,9643,12358,7954.79047805962,,,11,16,H,WEST,WEST,13,11,3522106.702248, ,39,1,1611H
-87.7483466119342,41.8986585994188,0,,R,,5003,12359,8021.94217951925,,,4,16,H,WEST,WEST,13,4,3570654.811614, ,39,1,1604H
-87.7093529110148,41.9064542996177,0,,R,,9646,12360,7969.29317450469,,,2,16,B,WEST,WEST,13,2,3532319.177794, ,39,0,1602B
