X,Y,SHAPE.LEN,SHAPE.AREA,NAME,OBJECTID,ALIAS
-87.70182779951,41.7734828999745,4743.40717983334,1351065.10273628,v24xxxp067c.jpg,3085,v24xxxp067c
-87.6994586746324,41.7735271999615,4725.85340916667,1339012.82568944,v24xxxp068c.jpg,3086,v24xxxp068c
-87.6968934497476,41.7735687499741,4735.56401966667,1351594.07942666,v24xxxp069c.jpg,3087,v24xxxp069c
-87.6945846997494,41.7735658499742,4724.8625975,1342791.97274102,v24xxxp070c.jpg,3088,v24xxxp070c
-87.6920743748729,41.7736149999609,4693.4886445,1323531.96910188,v24xxxp071c.jpg,3089,v24xxxp071c
-87.6897061997479,41.773654249974,4692.65859366667,1323810.32061418,v24xxxp072c.jpg,3090,v24xxxp072c
-87.6872007999974,41.7736996499739,4696.1067495,1325254.97201276,v24xxxp073c.jpg,3091,v24xxxp073c
-87.6847604243644,41.7737638999613,4732.439354,1348695.7806266,v24xxxp074c.jpg,3092,v24xxxp074c
-87.6817499248686,41.7737870999871,4785.44580966667,1383982.37040272,v24xxxp075c.jpg,3093,v24xxxp075c
-87.6786290743527,41.7738219499619,4836.55463133334,1413325.75148573,v24xxxp076c.jpg,3094,v24xxxp076c
-87.7213849997624,41.7695460499742,4710.01157733334,1332113.9961779,v24xxxp077c.jpg,3095,v24xxxp077c
-87.7189782999963,41.7695759999739,4695.62315466667,1325758.91289487,v24xxxp078c.jpg,3096,v24xxxp078c
-87.7164305497587,41.7696489499739,4677.2248975,1315402.18492793,v24xxxp079c.jpg,3097,v24xxxp079c
-87.7135745997543,41.7696764499739,4690.17500283334,1325795.26748661,v24xxxp080csuba.jpg,3098,v24xxxp080csuba
-87.7051785246326,41.7722575999871,4690.17434666667,1325794.81012041,v24xxxp080csubb.jpg,3099,v24xxxp080csubb
-87.6921454997483,41.7699899499741,4709.96433333334,1334996.07040608,v24xxxp081c.jpg,3100,v24xxxp081c
-87.6895829246187,41.7700349999609,4695.33247283334,1327806.30515375,v24xxxp082c.jpg,3101,v24xxxp082c
-87.687112499747,41.7700855499739,4672.64747883334,1312274.52480615,v24xxxp083c.jpg,3102,v24xxxp083c
-87.606463249706,41.7640480999741,4776.35199583334,1380517.78316302,v26xxxp007c.jpg,3235,v26xxxp007c
-87.6043603497101,41.7641028499741,4741.00889066667,1355237.03302463,v26xxxp008c.jpg,3236,v26xxxp008c
-87.6020854497104,41.7641331499739,4698.44467133334,1330285.7551735,v26xxxp009c.jpg,3237,v26xxxp009c
