X,Y,Name,Description,StationId
-87.6708126,41.9437153,Paulina,Line: Brown Line,143
-87.6747099,41.9481641,Addison,Line: Brown Line,16
-87.6747434,41.9468175,Addison,Line: Brown Line,16
-87.67473,41.9470509,Addison,Line: Brown Line,16
-87.6749352,41.9543639,Irving Park,Line: Brown,142
-87.6749486,41.9540528,Irving Park,Line: Brown,142
-87.6751605,41.9616442,Montrose,Line: Brown Line,103
-87.6751363,41.9614008,Montrose,Line: Brown Line,103
-87.6789638,41.966413800000012,Damen,Line: Brown Line,141
-87.6793836,41.9664048,Damen,Line: Brown Line,141
-87.6886426,41.9662712,Western,Line: Brown Line,135
-87.6883194,41.9663051,Western,Line: Brown Line,135
-87.6880847,41.9663549,Western,Line: Brown Line,135
-87.6939373,41.9662193,Rockwell,Line: Brown Line,120
-87.7011752,41.9661655,Francisco,Line: Brown Line,58
-87.7033907,41.9661475,Francisco,Line: Brown Line,58
-87.7085271,41.96610660000001,Kedzie,Line: Brown Line,79
-87.7107789,41.9660877,Kedzie,Line: Brown Line,79
-87.7132546,41.9682346,Kimball,Line: Brown Line,84
-87.712926,41.9683253,Kimball,Line: Brown Line,84
-87.6396239,41.9104794,Sedgwick,"Line: Brown, Purple Lines",124
-87.6396306,41.9103567,Sedgwick,"Line: Brown, Purple Lines",124
-87.6386596,41.9104046,Sedgwick,"Line: Brown, Purple Lines",124
-87.6354343,41.8965054,Chicago,"Line: Brown, Purple Lines",37
-87.6360646,41.8964944,Chicago,"Line: Brown, Purple Lines",37
-87.636019,41.8956249,Chicago,"Line: Brown, Purple Lines",37
-87.6353833,41.8955261,Chicago,"Line: Brown, Purple Lines",37
-87.6339725,41.8895811,Merchandise Mart,"Line: Brown, Purple Lines",98
-87.6340999,41.8894983,Merchandise Mart,"Line: Brown, Purple Lines",98
-87.6341482,41.8887076,Merchandise Mart,"Line: Brown, Purple Lines",98
-87.6264247,41.8530246,Cermak-McCormick Place,Line: Green Line,149
-87.626414,41.852639,Cermak-McCormick Place,Line: Green Line,149
-87.6263845,41.8511965,Cermak-McCormick Place,Line: Green Line,149
-87.6259071,41.8329269,35th-Bronzeville-IIT,Line: Green Line,2
-87.6258534,41.8312921,35th-Bronzeville-IIT,Line: Green Line,2
-87.621358,41.8218123,Indiana,Line: Green Line,73
-87.6217416,41.8218183,Indiana,Line: Green Line,73
-87.6190527,41.8167161,43rd,Line: Green Line,4
-87.6187429,41.8165392,43rd,Line: Green Line,4
-87.6192431,41.8165232,43rd,Line: Green Line,4
-87.6188663,41.8094523,47th,Line: Green Line,5
-87.6190969,41.8092844,47th,Line: Green Line,5
-87.6186141,41.8092884,47th,Line: Green Line,5
-87.6182789,41.8021467,51st,Line: Green Line,7
-87.6184988,41.8019747,51st,Line: Green Line,7
-87.6186115,41.8021907,51st,Line: Green Line,7
-87.6183406,41.7948963,Garfield,Line: Green Line,60
-87.6157549,41.7801189,King Drive,Line: Green Line,85
-87.615712,41.7799809,King Drive,Line: Green Line,85
-87.6155189,41.7799849,King Drive,Line: Green Line,85
-87.6157013,41.7804009,King Drive,Line: Green Line,85
-87.6157281,41.7806009,King Drive,Line: Green Line,85
-87.6155645,41.7806049,King Drive,Line: Green Line,85
-87.6060238,41.7805309,East 63rd-Cottage Grove,Line: Green Line,55
-87.6060158,41.7803269,East 63rd-Cottage Grove,Line: Green Line,55
-87.6057985,41.7801669,East 63rd-Cottage Grove,Line: Green Line,55
-87.605812,41.780735,East 63rd-Cottage Grove,Line: Green Line,55
-87.6061043,41.780735,East 63rd-Cottage Grove,Line: Green Line,55
-87.6060373,41.7801829,East 63rd-Cottage Grove,Line: Green Line,55
-87.6445913,41.7790368,Halsted,Line: Green Line,65
-87.6639381,41.7788348,Ashland/63rd,Line: Green Line,20
-87.6645014,41.7789348,Ashland/63rd,Line: Green Line,20
-87.6637879,41.7787948,Ashland/63rd,Line: Green Line,20
-87.648046,41.846777,Halsted,Line: Orange Line,66
-87.6655179,41.8391619,Ashland,Line: Orange Line,22
-87.6806322,41.8292736,35th/Archer,Line: Orange Line,3
-87.6840869,41.8048559,Western,Line: Orange Line,139
-87.7043831,41.804518,Kedzie,Line: Orange Line,83
-87.7243656,41.8000872,Pulaski,Line: Orange Line,115
-87.7248752,41.7998793,Pulaski,Line: Orange Line,115
-87.7386671,41.786649,Midway,Line: Orange Line,99
-87.6473325,41.8755406,UIC-Halsted,Line: Blue Line,132
-87.6496071,41.8755127,UIC-Halsted,Line: Blue Line,132
-87.6517904,41.8754727,UIC-Halsted,Line: Blue Line,132
-87.6616824,41.8758681,Racine,Line: Blue Line,117
-87.6571441,41.8759121,Racine,Line: Blue Line,117
-87.6727974,41.8756724,Illinois Medical District,Line: Blue Line,72
-87.6763272,41.8756125,Illinois Medical District,Line: Blue Line,72
-87.6864928,41.8755606,Western,Line: Blue Line,137
-87.7060944,41.8744382,Kedzie,Line: Blue Line,82
-87.7107078,41.8741106,Kedzie,Line: Blue Line,82
-87.725535,41.8739149,Pulaski,Line: Blue Line,113
-87.7302128,41.873863,Pulaski,Line: Blue Line,113
-87.7450991,41.87163,Cicero,Line: Blue Line,40
-87.7490848,41.8715621,Cicero,Line: Blue Line,40
-87.7744907,41.8707512,Austin,Line: Blue Line,23
-87.7792382,41.8710828,Austin,Line: Blue Line,23
-87.789157,41.8718977,Oak Park,Line: Blue Line,108
-87.7938724,41.8722971,Oak Park,Line: Blue Line,108
-87.8046817,41.8733277,Harlem,Line: Blue Line,67
-87.8081203,41.8736593,Harlem,Line: Blue Line,67
-87.8165638,41.8743663,Forest Park,Line: Blue Line,56
-87.8166282,41.8741106,Forest Park,Line: Blue Line,56
-87.9040039,41.97759,O'Hare,Line: Blue Line,110
-87.8604716,41.9839464,Rosemont,Line: Blue Line,123
-87.8392714,41.985047,Cumberland,Line: Blue Line,48
-87.8391373,41.9832964,Cumberland,Line: Blue Line,48
-87.8392084,41.9838786,Cumberland,Line: Blue Line,48
-87.8071225,41.9823414,Harlem,Line: Blue Line,69
-87.8080264,41.9823334,Harlem,Line: Blue Line,69
-87.7616188,41.9702577,Jefferson Park,"Line: Blue Line, Metra",78
-87.7634776,41.9717832,Jefferson Park,"Line: Blue Line, Metra",78
-87.7426529,41.9606689,Montrose,Line: Blue Line,102
-87.7429292,41.9608922,Montrose,Line: Blue Line,102
-87.7278417,41.9521657,Irving Park,Line: Blue Line,74
-87.7306151,41.9537535,Irving Park,Line: Blue Line,74
-87.730145800000017,41.9534843,Irving Park,Line: Blue Line,74
-87.7184057,41.9466041,Addison,Line: Blue Line,15
-87.7122742,41.939114600000011,Belmont,Line: Blue Line,26
-87.7077198,41.9297127,Logan Square,Line: Blue Line,94
-87.7107574,41.930896,Logan Square,Line: Blue Line,94
-87.707921,41.9291479,Logan Square,Line: Blue Line,94
-87.6971841,41.9221853,California,Line: Blue Line,31
-87.687555,41.9165652,Western,Line: Blue Line,138
-87.6875228,41.9160183,Western,Line: Blue Line,138
-87.6871419,41.9160542,Western,Line: Blue Line,138
-87.6776241,41.9098527,Damen,Line: Blue Line,50
-87.6785427,41.9105453,Damen,Line: Blue Line,50
-87.6673338,41.9036016,Division,Line: Blue Line,54
-87.6676878,41.903937,Division,Line: Blue Line,54
-87.6549983,41.8961251,Chicago,Line: Blue Line,36
-87.6549916,41.8963567,Chicago,Line: Blue Line,36
-87.6556246,41.896187,Chicago,Line: Blue Line,36
-87.6480554,41.8912653,Grand,Line: Blue Line,62
-87.6477215,41.8915399,Grand,Line: Blue Line,62
-87.6414169,41.885957,Clinton,"Line: Green, Pink Lines,46"
-87.6414169,41.8855117,Clinton,"Line: Green, Pink Lines,46"
-87.6412144,41.8854727,Clinton,"Line: Green, Pink Lines,46"
-87.6412319,41.8856325,Clinton,"Line: Green, Pink Lines,46"
-87.6317221,41.8856515,Clark/Lake,"Line: Blue, Pink, Green, Purple, Brown, Orange Lines",43
-87.6314405,41.8858551,Clark/Lake,"Line: Blue, Pink, Green, Purple, Brown, Orange Lines",43
-87.630668,41.8858372,Clark/Lake,"Line: Blue, Pink, Green, Purple, Brown, Orange Lines",43
-87.6306519,41.8856774,Clark/Lake,"Line: Blue, Pink, Green, Purple, Brown, Orange Lines",43
-87.6295951,41.8837904,Washington,Line: Blue Line,134
-87.629343,41.8837364,Washington,Line: Blue Line,134
-87.6297158,41.883375,Washington,Line: Blue Line,134
-87.6293564,41.882703,Washington,Line: Blue Line,134
-87.6295696,41.8824504,Washington,Line: Blue Line,134
-87.6295669,41.882716,Washington,Line: Blue Line,134
-87.6293483,41.8824694,Washington,Line: Blue Line,134
-87.6292786,41.8814739,Monroe,Line: Blue Line,100
-87.6292706,41.8812363,Monroe,Line: Blue Line,100
-87.6295173,41.8812423,Monroe,Line: Blue Line,100
-87.6294717,41.8802118,Monroe,Line: Blue Line,100
-87.6292786,41.8802338,Monroe,Line: Blue Line,100
-87.6294664,41.8799242,Monroe,Line: Blue Line,100
-87.629284,41.8799642,Monroe,Line: Blue Line,100
-87.6294744,41.878726,Jackson,Line: Blue Line,75
-87.6292142,41.878744,Jackson,Line: Blue Line,75
-87.6294073,41.8775338,Jackson,Line: Blue Line,75
-87.6291955,41.8775637,Jackson,Line: Blue Line,75
-87.6293832,41.8773201,Jackson,Line: Blue Line,75
-87.6291901,41.877348,Jackson,Line: Blue Line,75
-87.6325898,41.8753858,LaSalle,Line: Blue Line,89
-87.63136,41.8757673,LaSalle,Line: Blue Line,89
-87.6311588,41.8757643,LaSalle,Line: Blue Line,89
-87.6313372,41.8754547,LaSalle,Line: Blue Line,89
-87.6311749,41.8754637,LaSalle,Line: Blue Line,89
-87.640855,41.8756345,Clinton,Line: Blue Line,45
-87.6408496,41.8754907,Clinton,Line: Blue Line,45
-87.6411635,41.8756405,Clinton,Line: Blue Line,45
-87.6411581,41.8755087,Clinton,Line: Blue Line,45
-87.6513129,41.8856854,Morgan,"Line: Green, Pink Lines",148
-87.6512995,41.8855257,Morgan,"Line: Green, Pink Lines",148
-87.65207740000001,41.8856415,Morgan,"Line: Green, Pink Lines",148
-87.6521042,41.8855117,Morgan,"Line: Green, Pink Lines",148
-87.6671299,41.8855736,Ashland,"Line: Green, Pink Lines,21"
-87.6670843,41.8851023,Ashland,"Line: Green, Pink Lines,21"
-87.6667437,41.8851043,Ashland,"Line: Green, Pink Lines,21"
-87.6655206,41.8854198,Ashland,"Line: Green, Pink Lines,21"
-87.6654911,41.885302,Ashland,"Line: Green, Pink Lines,21"
-87.6664406,41.8852641,Ashland,"Line: Green, Pink Lines,21"
-87.6695842,41.8715242,Polk,Line: Pink Line,111
-87.6691443,41.8578493,18th,Line: Pink Line,999
-87.6760322,41.8545909,Damen,Line: Pink Line,49
-87.6782048,41.854495,Damen,Line: Pink Line,49
-87.6855057,41.8544031,Western,Line: Pink Line,136
-87.6859134,41.8543951,Western,Line: Pink Line,136
-87.6953924,41.8543072,California,Line: Pink Line,29
-87.6956874,41.8543032,California,Line: Pink Line,29
-87.705187800000019,41.8541794,Kedzie,Line: Pink Line,80
-87.7054507,41.8541874,Kedzie,Line: Pink Line,80
-87.7149028,41.8540255,Central Park,Line: Pink Line,32
-87.7152058,41.8540375,Central Park,Line: Pink Line,32
-87.7236843,41.8538857,Pulaski,Line: Pink Line,112
-87.7246526,41.8539636,Pulaski,Line: Pink Line,112
-87.7246526,41.8537419,Pulaski,Line: Pink Line,112
-87.7344453,41.8537478,Kostner,Line: Pink Line,86
-87.7322459,41.8537678,Kostner,Line: Pink Line,86
-87.7466494,41.8519098,Cicero,Line: Pink Line,39
-87.7443963,41.8519338,Cicero,Line: Pink Line,39
-87.7588749,41.851734,54th/Cermak,Line: Pink Line,8
-87.7542669,41.8518179,54th/Cermak,Line: Pink Line,8
-87.6964666,41.8839711,California,Line: Green Line,30
-87.6962949,41.8839741,California,Line: Green Line,30
-87.696547100000018,41.8843285,California,Line: Green Line,30
-87.6964881,41.8841378,California,Line: Green Line,30
-87.6974845,41.8841488,California,Line: Green Line,30
